,cust_index,Title,Author,Summary
0,0,"""Death"" of Morphotypical Entities",Doctor Rhythandius,A study on Daedric death
1,1,...ine Commands of the Eight Divines,Marisse,Disappointment in the gods
2,2,1. The Thrassian Plague,Anonymous,
3,3,101 Uses for Troll Fat,Anonymous,An angry merchant's letter listing the many virtues of troll fat
4,4,16 Accords of Madness,Anonymous,Stories of Sheogorath's interactions with mortals.
5,5,2. Baron-Admiral Bendu Olo,Anonymous,
6,6,"2920, Last Year of the First Era",Carlovac Townway,A fascinating drama taking place at the very end of the First Era.
7,7,3. The All Flags Navy,Anonymous,
8,8,36 Lessons of Vivec,Vivec,The complete series of 36 sermons. Very Michael Kirkbride - obscure and fascinating.
9,9,4. Instrument of Vengeance,Anonymous,
10,10,5. Construction of Monument Island,Anonymous,
11,11,A Betrayal of Our Heritage,Nworc at-Traeh,A denouncement of a Crown-Forebear marriage
12,12,A Bloody Journal,Viranus Donton,"The journal of Vilena Donton's son, found near his corpse. Note that there is a mistake in the text: over at the Loredas entry, ""Viranus"" should be ""Vitellus""."
13,13,A Boon for the Tribe,Lorhiel,A bosmer tracker hopes for success in the Great Hunt
14,14,A Bound Dremora,Anonymous,
15,15,A Brief History of Ald Sotha,Varlinsi Arandu,"Insights on the relationship between Sotha Sil and Vivec, plus a bit about House Sotha and its downfall"
16,16,A Brief History of the Empire,Stronach,"A nice account, covers the whole 3rd Era, from the conquests of Tiber Septim to the reign of Uriel VII. Retells the storyline of TES: Arena. The composition and the tone of this work reminded me of ""Annals of Kings and Rulers""."
17,17,A Brief History of the Empire,"Stronach k'Thojj III, Imperial Historian",The classic book series that gives a quick summary of the Septim line throughout the 3rd Era. It differs slightly from the Daggerfall version.
18,18,A Brother's Gifts,Anonymous,Buyer beware of baby echatere
19,19,A Brother's Plea,Hjarkborn,
20,20,A Call for Common Hair,Anonymous,An ancient pamphlet decrying Prince Hubalajad's fancy hairdressing
21,21,A Call to Action!,Scribe Nicolard,Bounty on Goblins
22,22,A Call to the Worthy,Anonymous,An invitation for s dangerous task
23,23,A Case for Open Borders,Kinlord Andurion,"A kinlord explains how he came to support Ayrenn's decree to open Summerset, and urged others to do the same"
24,24,A Cat's Serenade,Anonymous,
25,25,A Child's Play,Anonymous,
26,26,A Child's Tamriel Bestiary,Shane gro-Orath,A children's rhyme of the alphabet
27,27,A Child's Tamriel Bestiary [French],Shane gro-Orath,"The French translation of this rhyme book, featuring some new animals."
28,28,A Child's Tamriel Bestiary [German],Shane gro-Orath,"The German translation of this rhyme book, featuring some new animals."
29,29,A Children's Anuad,Anonymous,"A version of the creation myth, featuring two brother's love for the same woman."
30,30,A Citizen's Petition,Adan Kordrel,A letter addressed to the Blackcaster Mages Guild regarding a missing person
31,31,A Clothier's Primer,The Shattered Masque,A beginner's guidebook to crafting reliable footwear
32,32,A Compilation of Redguard History,Anonymous,"This is another version of Redguards, Their History and Their Heroes."
33,33,A Complaint to the Thalmor,Anonymous,
